name,description,score,m_score,price
iMac (21.5-inch Mid-2017),Intel Core i5-7360U @ 2.3 GHz (2 cores), 857, 2028, 1099
MacBook Pro (13-inch Mid 2019),Intel Core i5-8257U @ 1.4 GHz (4 cores),933,3850,1299
MacBook Pro (13-inch Mid 2019),Intel Core i5-8279U @ 2.4 GHz (4 cores),957,3935,1799
Mac mini (Late 2018),Intel Core i5-8500B @ 3.0 GHz (6 cores),1021,4787,1099
MacBook Pro (16-inch Late 2019),Intel Core i7-9750H @ 2.6 GHz (6 cores),1030,5428,2399
Mac Pro (Late 2019),Intel Xeon W-3223 @ 3.5 GHz (8 cores),1034,8040,5999
MacBook Pro (13-inch Mid 2019),Intel Core i7-8557U @ 1.7 GHz (4 cores),1045,3946,1599
MacBook Pro (16-inch Late 2019),Intel Core i9-9880H @ 2.3 GHz (8 cores),1081,6665,2799
MacBook Pro (13-inch Mid 2019),Intel Core i7-8569U @ 2.8 GHz (4 cores),1100,4203,2099
MacBook Pro (16-inch Late 2019),Intel Core i9-9980HK @ 2.4 GHz (8 cores),1121,6991,2699
Mac Pro (Late 2019),Intel Xeon W-3235 @ 3.3 GHz (12 cores),1121,11751,6999
Mac mini (Late 2018),Intel Core i7-8700B @ 3.2 GHz (6 cores),1126,5691,1099
Mac Pro (Late 2019),Intel Xeon W-3245 @ 3.2 GHz (16 cores),1128,14531,7999
Mac Pro (Late 2019),Intel Xeon W-3275M @ 2.5 GHz (28 cores),1142,19205,12999
Mac Pro (Late 2019),Intel Xeon W-3265M @ 2.7 GHz (24 cores),1147,17818,11999
MacBook Air (Early 2020), Intel Core i5- @1.1Ghz 1030NG7 (4 cores), 1047, 2658, 999
MacBook Pro (13-inch Late 2020), Apple M1 @ 3.19 GHz (8 cores), 1725, 7590, 1399
MacBook Air (Late 2020), Apple M1 @ 3.2 GHz (8 cores), 1720, 7572, 999
Mac mini (Late 2020), Apple M1 @ 3.2 GHz (8 cores), 1732, 7633, 699
iMac (24-inch 2021), Apple M1 @ 3.2 GHz (8 cores), 1716, 7469, 1299
iMac (27-inch Late 2020), Intel Core i9-10910 @ 3.6 GHz (10 cores), 1259, 8940, 2499
iMac (27-inch Retina Late 2020), Intel Core i7-10700K @ 3.8 GHz (8 cores), 1217, 7750, 2299
iMac (27-inch Retina Late 2020), Intel Core i5-10600 @ 3.3 GHz (6 cores), 1149, 5856, 1999
iMac (27-inch Retina Late 2020), Intel Core i5-10500 @ 3.1 GHz (6 cores), 1127, 5654, 1799
MacBook Pro (14-inch Late 2021), M1 Pro (8 cores), 1767, 9948, 1999
MacBook Pro (14-inch Late 2021), M1 Pro (10 cores), 1770, 12596, 2199