,Percentage_of_total_national_country_population_living_in_the_city,Art_galleries,Average_daily_number_of_visits_to_top_5_art_exhibitions,Average_income_per_capita_per_year_(ppp),Bookshops,Cinema_screens,Cinemas,Community_centres,Creative_industries_employment_Percentage,Education_level-Percentage_with_degree_level_or_higher,Estimated_attendance_at_main_carnivalfestival,Estimated_attendance_at_main_carnivalfestival_as_Percentage_of_city_population,Festivals_and_celebrations,Film_festivals,GDP_(ppp)(million),"Geographical_area_size,_sq._km",Major_concert_halls,Museumsgalleries_attendance_-_Percentage_working_age_population_attending_at_least_once_a_year,National_museums,"Night_Clubs,_Discos_and_Dance_Halls",No._performing_arts_dance_rehearsal_space,No_artist_studio_units_30102018(2).csv),Number_of_Michelin_star_restaurants,Number_of_admissions_at_all_theatres_per_year,Number_of_admissions_at_main_film_festival,Number_of_bars,"Number_of_bars_per_100,000_population",Number_of_book_loans_by_public_libraries_per_year_(million),Number_of_book_titles_published_in_the_country_in_a_year,Number_of_bookshops_per_100.000_population,Number_of_dance_performances_per_year,Number_of_films_given_theatrical_release_in_the_country_in_a_year,Number_of_foreign_films_given_theatrical_release_in_the_country_in_a_year,Number_of_households,Number_of_international_students_studying_in_the_city,Number_of_international_tourists_per_year,Number_of_international_tourists_per_year_as_Percentage_of_city_population,Number_of_live_music_venues,Number_of_markets,Number_of_music_performances_per_year,Number_of_non-professional_dance_schools,Number_of_other_HeritageHistorical_sites,Number_of_restaurants,"Number_of_restaurants_per_100,000_population",Number_of_students_of_Art__Design_degree_courses_at_generalist_universities,Number_of_students_of_specialist_Art__Design_public_institutions,Number_of_students_of_specialist_Art__Design_public_institutions,Number_of_theatrical_performances_at_all_theatres_per_year,Number_of_video_games_arcades,Number_of_visits_to_top_5_most_visited_museums__galleries,Other_museums,Public_libraries,Specialist_private_cultural_HE_establishments,Specialist_public_cultural_HE_establishments,Theatres,Total_museums,Total_population_number,Total_value_of_cinema_ticket_sales_per_year_-_(ppp),Total_value_of_theatre_ticket_sales_at_all_theatres_per_year_-_m_(ppp),UNESCO_World_Heritage_Sites,Working_age_population,Figure,Per capita (Number_of_admissions_at_all_theatres_per_year,Per capita (Number_of_book_loans_by_public_libraries_per_year_(million),Per capita (Number_of_visits_to_top_5_most_visited_museums__galleries,Per capita (Total_value_of_cinema_ticket_sales_per_year_-_(ppp),Per capita (Total_value_of_theatre_ticket_sales_at_all_theatres_per_year_-_m_(ppp)
No._performing_arts_dance_rehearsal_space,0.1516798798,0.7996923345,0.498566803,-0.2688625653,0.2241678025,0.6461283565,0.6894273396,0.3356928062,0.3719185965,-0.03338188277,-0.03928008669,-0.3899035398,0.4842055533,0.912334584,0.6684176138,-0.1680032514,0.4544431356,0.1532726417,0.256242316,0.5584813997,1,0.2889143054,0.4755717635,0.08125745675,0.4359525403,0.1522143587,-0.2255506737,0.3737101242,0.1371335875,-0.2324163144,0.2360509708,0.305176272,0.01912634114,0.5240562633,0.3829274201,-0.06058039391,-0.4012182541,0.03883976758,0.7062562739,0.1407416263,0.742642455,-0.059743015,0.7572001257,-0.01489568163,0.07779030558,0.09441828531,0.09441828531,0.5436839807,-0.182812457,0.2802005596,0.5836675216,0.7476443865,0.5415302964,0.4159562199,0.8208689985,0.6050556027,0.5910430713,0.1316630039,-0.2218384077,0.1861957223,0.3431151788,-0.1744950888,-0.0824267032,-0.04145437388,-0.2446307362,-0.4078284933,-0.1604002283
No_artist_studio_units_30102018(2).csv),0.05769389195,0.2873335438,0.2898176787,-0.2835670794,-0.0007936988399,0.774420481,0.6031112156,0.2269583112,0.5020928102,0.2009847577,-0.1206115592,-0.3397446494,-0.2078880569,0.2440945629,-0.01616843995,-0.1109495758,0.1646597324,0.3084980073,0.4166469107,0.8193428257,0.2889143054,1,0.3392101008,0.5931418709,0.485659026,-0.02120410135,-0.2458288266,0.3146084401,0.05283011757,-0.1396872403,0.07832080583,0.09054468796,-0.04366849817,0.7331017522,0.6431389685,0.04977189228,-0.1655233291,0.3671543603,0.5891281581,0.1137903308,0.05583115448,0.7863302387,-0.04380427525,-0.1213338255,-0.0111068906,0.82692076,0.82692076,0.3062447424,-0.1049990704,0.4702865972,0.7108256902,0.1983905733,0.2121199127,0.7184044859,0.2982607257,0.730551448,0.542689232,0.7426193326,0.7193912954,0.6047829355,0.1986326113,0.01656211623,-0.03961681502,-0.2589925583,-0.1391544538,0.7754568109,0.4596193186
Number_of_Michelin_star_restaurants,0.05726529952,0.5334494729,0.4093313399,0.3892225705,0.3389709852,0.2267599509,0.2946078089,0.2670823372,0.5225464031,-0.1670226527,-0.009025957487,-0.1571923115,0.01931033778,0.3432092394,0.6270707059,-0.1165924165,0.5000886753,0.1151681655,0.09886910137,0.02245451918,0.4755717635,0.3392101008,1,0.4640129558,0.2580637299,0.6592331666,0.1300621874,0.6108599425,0.03737891009,0.02584130516,0.2149539607,0.3143531616,0.09398986669,0.5700414427,0.5872006853,0.3299608667,0.03554533043,0.3937570847,0.3938225092,0.1449029377,0.3152180431,0.1802755525,0.6958492684,0.4559412689,-0.01250239669,0.1345097179,0.1345097179,0.3310013225,0.1182137281,0.3965565999,0.4223178059,0.3251710797,0.2121362527,0.1499959928,0.3985275685,0.385986937,0.3149266072,0.2749998989,0.4556539308,0.2554486198,-0.05762419365,-0.1396117416,0.02325651684,0.1012985324,-0.1715892784,0.06261546504,0.4708996824
Number_of_admissions_at_all_theatres_per_year,-0.04541631374,0.5956316436,0.2760631105,0.056135783,0.4342243821,0.497472339,0.4937337835,0.2568236758,0.4955075131,0.09123442001,0.1127125937,-0.2830615426,0.08645959611,0.4416732044,0.5596511572,0.04999697683,0.3934631526,0.2146735091,0.3658464096,0.2883508461,0.08125745675,0.5931418709,0.4640129558,1,0.2348939662,0.4312950004,-0.0565571701,0.6010049322,0.1900424048,0.04910381455,0.5036174996,0.5508765518,0.4405269596,0.6608503674,0.5335840527,0.2889857458,-0.1760654126,0.4535769008,0.326880092,0.4071275609,0.1960220028,0.3603637018,0.5426968302,0.4177347627,0.6646865085,0.4446913965,0.4446913965,0.810437815,0.28749661,0.6624926691,0.4814080963,0.5988705016,0.4012345177,0.2962948711,0.5214353034,0.5464347914,0.5158312413,0.7252136202,0.7033601995,0.4200868548,-0.1193913274,-0.01794896854,-0.01463232033,-0.04721204751,-0.2274093212,0.1814999665,0.5439102639
Number_of_admissions_at_main_film_festival,-0.1187228235,0.306522709,0.2116728239,0.01040341385,0.3425991045,0.1337322887,0.1699568793,0.2637404609,0.3135306409,0.3391273067,-0.005396033792,-0.146723152,-0.1228602877,0.3057072448,0.1599806851,0.08528560418,0.1242728631,0.3306202462,0.2575310211,0.3401730146,0.4359525403,0.485659026,0.2580637299,0.2348939662,1,0.1303028623,0.1044695001,0.3801064126,-0.1341442101,0.1779820088,-0.01281712651,0.0434596552,-0.02659518506,0.1907222303,0.273710909,-0.007619524365,-0.2398651359,0.1748311127,0.09332019262,0.2827195275,0.1171270626,0.01126176002,0.05051226153,-0.04666814557,-0.05423871955,0.1815686855,0.1815686855,0.04644939654,0.1414660107,0.1074224895,0.07727218019,-0.02597814434,0.01630598511,-0.01556608313,0.132564099,0.1440418162,0.2420765213,0.3425568117,0.1870135609,0.03592953039,-0.08058301076,-0.3565160186,-0.09609937135,0.2495920786,-0.2137261731,0.3645964325,0.2458037873
Number_of_bars,-0.0480675552,0.172167198,0.4185772512,0.02579400335,0.1750240356,0.04832739374,0.08849864329,0.1360125069,0.6189382783,-0.19953746,-0.02490959662,-0.2385771102,0.01477600551,0.264539766,0.329891601,-0.03151869235,0.2549121168,0.1044254669,0.04132638942,-0.04456997691,0.1522143587,-0.02120410135,0.6592331666,0.4312950004,0.1303028623,1,0.5761396821,0.4542587932,-0.1394485449,0.01683369871,0.1708941882,0.5110512951,0.4849129124,0.4928480788,0.3093939967,0.07181385274,-0.1694748364,0.1546553038,-0.03192446192,0.07039077243,0.170044157,-0.1091104596,0.8427395072,0.5795502105,0.3993819324,-0.03408784938,-0.03408784938,0.4611607362,0.2606656505,0.2349597308,0.2341111444,0.3977651309,0.1526404838,0.001538640917,0.2889838131,0.2473170121,0.2458695182,0.2339673535,-0.0746517141,0.1694801986,-0.07176896025,-0.2350630445,0.2091530532,-0.04995548713,-0.1954553644,0.1210298306,-0.1583208661
"Number_of_bars_per_100,000_population",-0.1546185284,-0.08135727734,-0.2215008934,-0.1650360414,-0.08339071225,-0.3583567228,-0.238832047,-0.009815458973,0.282688975,-0.08261807188,-0.1675139866,0.1915085528,-0.1150614953,-0.05929200217,-0.2768621664,-0.06340887358,-0.1291987801,0.2128243986,0.0515403305,-0.231447543,-0.2255506737,-0.2458288266,0.1300621874,-0.0565571701,0.1044695001,0.5761396821,1,-0.08037272205,-0.1974310815,0.1531685316,-0.1297413466,0.1178600092,0.05998423624,-0.1296313438,-0.04438454089,-0.1636346853,0.0440770992,-0.1873740818,-0.2670214526,-0.05807636682,-0.1893492366,-0.2448555865,0.1908973364,0.2159021053,0.169213375,-0.02714802872,-0.02714802872,0.0181145931,0.05731486544,-0.1588852549,-0.2393652352,-0.020802566,-0.01449266576,0.02114277971,0.01397436379,-0.189718135,-0.2914663082,0.004461368672,-0.2620881985,0.163986786,-0.1411770779,-0.1572545125,0.5027989535,-0.1037631299,0.152562688,0.405736226,-0.2047242485
Number_of_book_loans_by_public_libraries_per_year_(million),0.04467947969,0.5747385505,0.1641901832,0.235612677,0.5507523647,0.3498620979,0.3741248247,0.5074048407,0.3480437428,0.07979819976,0.1951727906,-0.2442275417,0.02852853081,0.2611287193,0.7905792262,0.07106887788,0.2944227011,0.1060809695,0.4528082988,0.5099332622,0.3737101242,0.3146084401,0.6108599425,0.6010049322,0.3801064126,0.4542587932,-0.08037272205,1,0.1571171259,0.06262729125,0.3879885472,0.2914807118,0.1616479636,0.7171160566,0.3837329782,0.370664034,-0.127034605,0.428771001,0.1601045046,0.3037441138,0.2843900378,0.05073820913,0.6996589235,0.2960876004,0.1557727706,0.1983437155,0.1983437155,0.3493413232,0.4989967232,0.3276246414,0.365095025,0.3249161179,0.1090097844,-0.0244050655,0.2873581677,0.4031443398,0.6114157092,0.4575296499,0.4948462436,-0.051378604,0.1507264447,-0.1232484355,-0.1750049806,0.3480466558,-0.2733844477,-0.1032254016,0.2929491056
Number_of_book_titles_published_in_the_country_in_a_year,-0.5692724077,0.3506214314,-0.08378951102,0.08372794764,-0.06501535498,0.2521122026,0.2653235607,0.09756340801,0.1944339599,0.06395905457,0.356013425,0.165368875,0.08234373861,0.01132143444,0.3970959289,-0.1193455955,0.1392543331,0.1683796524,-0.286730466,0.3087948927,0.1371335875,0.05283011757,0.03737891009,0.1900424048,-0.1341442101,-0.1394485449,-0.1974310815,0.1571171259,1,-0.2168577883,0.5335840468,0.4039676618,0.09423896529,0.08362316043,0.1457356876,-0.0906179116,-0.223579062,0.1517880521,0.07247929541,0.1126560752,0.1524457186,0.1459231241,0.1100916543,0.03643032239,-0.0388651901,0.1881518946,0.1881518946,0.082299337,0.1513547278,0.1239685624,0.2384903034,0.1292653695,0.02270844787,-0.0162020561,0.2826067531,0.2267573172,0.08390546376,0.5512325075,0.4596083694,-0.176320736,0.3756877068,0.03767127657,-0.0182322666,0.1928549182,0.2565924556,0.1632903414,0.3342151791
Number_of_bookshops_per_100.000_population,-0.214853922,0.01502163258,0.253604145,0.2327572885,0.4098056975,-0.06727282521,-0.01636557461,0.3653061952,0.04818510894,0.04953716718,-0.03905824975,0.186708215,-0.1121381724,-0.09375485221,-0.023534183,0.4637341321,0.1951717518,-0.06362652283,0.05202915392,-0.02001487941,-0.2324163144,-0.1396872403,0.02584130516,0.04910381455,0.1779820088,0.01683369871,0.1531685316,0.06262729125,-0.2168577883,1,-0.1064869347,-0.02935561439,0.04812643272,0.0170497972,0.1572757493,0.07724406898,0.3416692313,-0.03374710734,-0.1655962608,0.3453744134,-0.0213109611,-0.200582766,-0.05334742459,0.4203703124,-0.06537704505,-0.009620199742,-0.009620199742,-0.1784684337,0.04552084238,-0.1075593736,-0.1616861733,-0.1376876787,-0.1363668525,-0.04484422898,-0.08600829634,-0.2016787504,-0.06896748111,0.02302372048,0.06687846154,0.01323042497,-0.1222141795,-0.1262146975,0.1708460773,-0.08340223714,0.0783449215,0.2870447702,0.2447296168
Number_of_dance_performances_per_year,-0.1247270009,0.6133693191,-0.0548275706,0.18640397,0.03399884776,0.283807437,0.2389001859,0.4979663876,0.2222206129,0.08034461822,0.1466923741,-0.257528106,0.5374100414,0.2916428058,0.4567804632,0.03935772772,0.6343330412,-0.09639845486,-0.1605202309,0.1514230712,0.2360509708,0.07832080583,0.2149539607,0.5036174996,-0.01281712651,0.1708941882,-0.1297413466,0.3879885472,0.5335840468,-0.1064869347,1,0.4482876881,0.4624069203,0.2383791498,0.3691095685,0.04894975436,-0.2343216506,0.3443032872,0.08090009904,0.400174518,0.2705671513,0.3791108641,0.3623470356,0.1629422569,0.3321272813,0.02128072931,0.02128072931,0.3625888218,-0.04738994795,0.3787320305,0.3476469155,0.311893419,0.1519033762,-0.1468687316,0.6675322843,0.3091468989,0.1992048318,0.3596269386,0.7151660022,-0.0617058322,0.2721879124,0.1245478302,-0.1090170887,0.2149386209,-0.1575808511,0.1300499376,0.6363436327
Number_of_films_given_theatrical_release_in_the_country_in_a_year,-0.1568145037,0.2390042215,0.005645037122,0.3350415361,0.01660548253,0.2621764898,0.2128558722,0.1696192074,0.5767063786,0.1589354148,0.03794383611,-0.07527721067,0.325433579,0.5248035307,0.3901345676,0.07016966605,0.2456334433,0.136814086,-0.1938427849,-0.06193479994,0.305176272,0.09054468796,0.3143531616,0.5508765518,0.0434596552,0.5110512951,0.1178600092,0.2914807118,0.4039676618,-0.02935561439,0.4482876881,1,0.6914116643,0.2359848235,0.206010744,0.05059532558,-0.1695663527,0.1786387921,0.158999348,0.2580826622,0.2035959528,-0.002324935181,0.6120465618,0.4959506057,0.6884632826,0.006377482414,0.006377482414,0.677944891,0.1116719787,0.2700426165,0.4490218355,0.5597301712,0.2755933356,0.02646388452,0.403723854,0.382833276,0.1223037713,0.3357736854,0.1422154153,0.1653395163,0.08698932496,-0.03684000891,0.09582997282,0.2262651657,0.09027403273,0.1327647467,0.1547074346
Number_of_foreign_films_given_theatrical_release_in_the_country_in_a_year,-0.07983431588,0.08704225267,-0.1513353421,0.0913398471,-0.09888910231,0.09646039632,0.004850867015,-0.006249592445,0.5574984606,0.09946009627,-0.01910443879,-0.07103662514,0.1905613436,0.3751342466,0.186165859,-0.0036369828,0.2280311089,0.2053965628,-0.164857467,-0.1776355031,0.01912634114,-0.04366849817,0.09398986669,0.4405269596,-0.02659518506,0.4849129124,0.05998423624,0.1616479636,0.09423896529,0.04812643272,0.4624069203,0.6914116643,1,0.04279173636,-0.02254985471,0.130011532,0.008939363143,-0.005900752493,-0.04013696352,0.02373408589,-0.02284798482,-0.08561999934,0.5014543953,0.4837327067,0.7483500456,-0.07101123814,-0.07101123814,0.6521688073,0.03139283613,0.4753155008,0.4370503487,0.4838979033,0.2123070717,-0.005484645352,0.3977659389,0.3968592592,0.03798199219,0.1344701334,0.001132586041,0.09572446645,0.1245697791,-0.1828703637,0.04976064887,0.1362354177,0.08397928457,0.06639514406,0.001626850418
Number_of_households,-0.05276037345,0.5662124042,0.02141233526,-0.1980686803,0.6553333041,0.7586559896,0.7621085438,0.4988306984,0.2982415502,-0.2897751993,0.3170653546,-0.3581995089,0.03805293469,0.3224129239,0.7924867292,-0.03412809542,0.5333023476,0.09183669777,0.4940161613,0.411513772,0.5240562633,0.7331017522,0.5700414427,0.6608503674,0.1907222303,0.4928480788,-0.1296313438,0.7171160566,0.08362316043,0.0170497972,0.2383791498,0.2359848235,0.04279173636,1,0.3809152144,0.303521935,-0.3068373937,0.3722409178,0.5759881855,0.2143247333,0.5880284576,0.2750906622,0.7435690162,0.4385999434,0.2327626691,0.3821759475,0.3821759475,0.7019539861,0.5391456907,0.4631175086,0.5223000979,0.6961645809,0.2815794676,0.3167799585,0.4410883708,0.6019468592,0.913256384,0.6310148089,0.4016083868,0.1981930932,0.1300142625,-0.2443580481,-0.1596047973,-0.2118007196,-0.424074582,-0.1432995234,0.05464217905
Number_of_international_students_studying_in_the_city,0.2521951764,0.5861285567,0.7450048404,0.1643739718,0.3557679153,0.3795506643,0.371140143,0.6513816756,0.3150767992,0.06881203323,0.09044977321,-0.0770257145,0.088919313,0.3835545995,0.3562901432,0.2772765658,0.5222176853,0.1013206458,0.09182481182,0.1095565053,0.3829274201,0.6431389685,0.5872006853,0.5335840527,0.273710909,0.3093939967,-0.04438454089,0.3837329782,0.1457356876,0.1572757493,0.3691095685,0.206010744,-0.02254985471,0.3809152144,1,0.03574271219,-0.2315891423,0.5762582816,0.3392120729,0.5548071447,0.2745058009,0.2465075673,0.3795320008,0.09373775849,0.1140091235,0.4787488592,0.4787488592,0.3125085776,-0.09609598504,0.4242253072,0.3369729101,0.2995211114,0.2370966388,0.2899106081,0.4232844405,0.3643321002,0.2497506348,0.3190870849,0.6728959082,0.3107390475,0.03489565437,0.06264932362,0.01443871739,0.03845116828,-0.1609782823,0.1831636685,0.6670825702
Number_of_international_tourists_per_year,-0.01854016275,0.2069895799,0.01952327797,0.03851752568,0.1881044673,0.1869161265,0.2110975925,0.06518300149,0.2169868585,-0.2347376539,-0.06852282225,-0.01439390155,0.05097310498,0.2096744783,0.3308876817,-0.07749417331,0.09427803476,-0.04009770176,0.1923600683,0.0388753011,-0.06058039391,0.04977189228,0.3299608667,0.2889857458,-0.007619524365,0.07181385274,-0.1636346853,0.370664034,-0.0906179116,0.07724406898,0.04894975436,0.05059532558,0.130011532,0.303521935,0.03574271219,1,0.5781617976,0.473352108,0.2546270763,0.01910816275,-0.009118031433,0.1908004948,0.1567443156,-0.006639910307,0.05497261525,0.2491412466,0.2491412466,0.2364466596,0.1472860198,0.3513209506,0.5746537843,0.1963314139,0.1130602135,0.09536030237,0.2137974025,0.1401221462,0.2195181424,0.2484277213,0.1491698534,0.03249307881,-0.01276063471,0.1371440624,0.01449737849,0.08569518862,-0.1534480581,-0.02203917685,0.04184933645
Number_of_international_tourists_per_year_as_Percentage_of_city_population,-0.07921033481,-0.1625459106,0.01124483171,0.1572118265,-0.2025038133,-0.3577094518,-0.2990180761,-0.1961174966,0.01907211296,-0.1900723406,-0.2037524473,0.4792208292,0.02042407636,-0.1427202546,-0.1823008716,-0.12343277,-0.2104336252,0.06584158451,-0.06772051787,-0.2123334008,-0.4012182541,-0.1655233291,0.03554533043,-0.1760654126,-0.2398651359,-0.1694748364,0.0440770992,-0.127034605,-0.223579062,0.3416692313,-0.2343216506,-0.1695663527,0.008939363143,-0.3068373937,-0.2315891423,0.5781617976,1,-0.09088275961,-0.1727360313,-0.2203503422,-0.3346684875,-0.1070603772,-0.2086828933,0.1301737974,-0.1778095159,-0.0279447165,-0.0279447165,-0.196426979,-0.1244402929,0.0333391423,-0.1185110353,-0.211444577,-0.1486742262,-0.03327593944,-0.1643885635,-0.2387808011,-0.417327202,-0.2735242612,-0.1184708895,0.1339665363,-0.1180309741,0.1156550882,0.1851524815,0.05236837819,0.3530986139,0.06567428495,-0.007560578563
Number_of_live_music_venues,0.2669745008,0.3573283912,0.5463999918,0.3581850151,0.3297174523,0.3896951582,0.3995875691,0.2782277181,0.3047210926,0.3844131626,0.1378908989,-0.164190085,0.1535193319,0.2968517123,0.4528356413,0.2038064505,0.4231071715,0.2586383877,0.3450763681,0.3123996204,0.03883976758,0.3671543603,0.3937570847,0.4535769008,0.1748311127,0.1546553038,-0.1873740818,0.428771001,0.1517880521,-0.03374710734,0.3443032872,0.1786387921,-0.005900752493,0.3722409178,0.5762582816,0.473352108,-0.09088275961,1,0.3327027607,0.4504744674,0.223574066,0.1833502891,0.2508432417,-0.008885609094,-0.031765795,0.3490492782,0.3490492782,0.1338378343,0.01525607837,0.4911493043,0.3143188055,0.2154949976,0.6066184259,0.03298318361,0.2970072407,0.3232311435,0.2579424714,0.525877966,0.4428886504,0.3330317061,0.09324418937,0.1471350062,-0.04380465437,0.1097979882,-0.1273961092,0.2516322489,0.4448182786
Number_of_markets,0.07847781577,0.4416921414,0.09050491887,-0.01703623661,0.2445380841,0.7846972132,0.739352956,0.5564815494,0.0697304673,-0.2487171773,0.04701531985,-0.3587323298,0.3981252118,0.3976204823,0.5339835483,0.01035185172,0.4675673842,0.3707440991,0.4212878246,0.2423105273,0.7062562739,0.5891281581,0.3938225092,0.326880092,0.09332019262,-0.03192446192,-0.2670214526,0.1601045046,0.07247929541,-0.1655962608,0.08090009904,0.158999348,-0.04013696352,0.5759881855,0.3392120729,0.2546270763,-0.1727360313,0.3327027607,1,0.1742110057,0.3352064718,0.5388623933,0.1160761988,-0.08805045814,0.1146297837,0.2854481345,0.2854481345,0.4264304063,0.1028637842,0.4741912051,0.4174503476,0.4983010347,0.5456925379,0.3379410189,0.5602283163,0.4843403399,0.5677219536,0.3625760619,0.1150863349,0.2764731246,0.1650096895,-0.1720358617,-0.0395948778,-0.330923939,-0.263460951,-0.1125390905,-0.03067702985
Number_of_music_performances_per_year,0.0103230926,0.4318343081,0.05054140241,0.3263377451,0.1863513839,0.2438425178,0.2706485236,0.7265232917,0.1185714682,0.4037578795,-0.03296714792,-0.1509127698,0.3342435028,0.4114032955,0.1784906855,0.7999713511,0.4044938818,0.07900276662,-0.02357005533,0.03923608932,0.1407416263,0.1137903308,0.1449029377,0.4071275609,0.2827195275,0.07039077243,-0.05807636682,0.3037441138,0.1126560752,0.3453744134,0.400174518,0.2580826622,0.02373408589,0.2143247333,0.5548071447,0.01910816275,-0.2203503422,0.4504744674,0.1742110057,1,0.335586315,0.2032235701,0.09090524643,-0.06195381276,0.09235729144,0.5078422651,0.5078422651,0.2456897125,-0.1991780897,0.2733749018,0.173427486,0.2107925323,0.289029394,0.1623410251,0.4212107261,0.1764079061,0.08266439865,0.1336529217,0.4753929383,0.2034849893,-0.01933995795,-0.1762918708,0.2147898229,0.1892491546,-0.153361872,0.1899452234,0.6519933702
Number_of_non-professional_dance_schools,-0.1259071897,0.5508555238,-0.1231835189,-0.0910878159,0.4901476521,0.452618433,0.7647542779,0.1332181501,0.03691817102,-0.1164004838,0.5572900862,-0.2075257731,0.3953339204,0.4240323813,0.5814890122,0.1009551535,0.6234262738,-0.2393860656,0.1244301871,0.04926353031,0.742642455,0.05583115448,0.3152180431,0.1960220028,0.1171270626,0.170044157,-0.1893492366,0.2843900378,0.1524457186,-0.0213109611,0.2705671513,0.2035959528,-0.02284798482,0.5880284576,0.2745058009,-0.009118031433,-0.3346684875,0.223574066,0.3352064718,0.335586315,1,-0.01080477796,0.4762021862,0.1896523105,-0.09757149906,0.03270826652,0.03270826652,0.2374354285,0.5566993648,0.246314277,0.316817559,0.6146741753,0.2968415126,0.3487350819,0.4439087942,0.3299553352,0.5060374649,0.4269638363,0.3001555735,0.1429743986,-0.09636358983,-0.05065890792,-0.1048575924,-0.1533388634,-0.2797367865,-0.0652757525,0.2471204322
Number_of_other_HeritageHistorical_sites,-0.03080950922,0.4373826578,0.1104642146,-0.0401935292,-0.0416727279,0.2988602651,0.2137698152,0.03967394046,-0.09986106002,-0.1935858996,0.1031799297,-0.08760466686,0.05944060347,0.0007245286232,0.160371455,-0.02989569994,0.4312119015,0.4356407575,0.05438945972,0.1017220535,-0.059743015,0.7863302387,0.1802755525,0.3603637018,0.01126176002,-0.1091104596,-0.2448555865,0.05073820913,0.1459231241,-0.200582766,0.3791108641,-0.002324935181,-0.08561999934,0.2750906622,0.2465075673,0.1908004948,-0.1070603772,0.1833502891,0.5388623933,0.2032235701,-0.01080477796,1,-0.05842218848,-0.2002001351,-0.0915474369,0.1603502413,0.1603502413,0.1950787671,-0.135389414,0.382648834,0.0942076319,-0.02076358159,-0.03407608251,0.008614702222,0.40137683,0.1131805576,0.2810734338,0.1335099903,0.6164318335,0.02902724125,-0.07437201649,-0.04784456161,-0.03706751067,-0.1018772739,-0.113308744,-0.0803076841,0.5121951818
Number_of_restaurants,-0.09714427525,0.3960545672,0.4199974469,0.08404858333,0.5542297811,0.316842378,0.3745108709,0.1451708178,0.4833592418,-0.2840715794,0.3270739574,-0.2009759676,0.1271133395,0.3778561132,0.7025557413,-0.08164170884,0.4760567664,-0.01811449624,0.07484600973,0.08976321689,0.7572001257,-0.04380427525,0.6958492684,0.5426968302,0.05051226153,0.8427395072,0.1908973364,0.6996589235,0.1100916543,-0.05334742459,0.3623470356,0.6120465618,0.5014543953,0.7435690162,0.3795320008,0.1567443156,-0.2086828933,0.2508432417,0.1160761988,0.09090524643,0.4762021862,-0.05842218848,1,0.6399250333,0.3781876081,-0.08269748587,-0.08269748587,0.540059426,0.6203380249,0.3561504066,0.4069074841,0.6284088348,0.1943833259,-0.01948959417,0.3729334341,0.3941113556,0.5731146983,0.40933483,0.183247974,0.1201061873,0.06306653604,-0.1019566302,-0.01290463524,0.03547147119,-0.2084706045,-0.1085986923,-0.003573987813
