,Percentage_of_total_national_country_population_living_in_the_city,Art_galleries,Average_daily_number_of_visits_to_top_5_art_exhibitions,Average_income_per_capita_per_year_(ppp),Bookshops,Cinema_screens,Cinemas,Community_centres,Creative_industries_employment_Percentage,Education_level-Percentage_with_degree_level_or_higher,Estimated_attendance_at_main_carnivalfestival,Estimated_attendance_at_main_carnivalfestival_as_Percentage_of_city_population,Festivals_and_celebrations,Film_festivals,GDP_(ppp)(million),"Geographical_area_size,_sq._km",Major_concert_halls,Museumsgalleries_attendance_-_Percentage_working_age_population_attending_at_least_once_a_year,National_museums,"Night_Clubs,_Discos_and_Dance_Halls",No._performing_arts_dance_rehearsal_space,No_artist_studio_units_30102018(2).csv),Number_of_Michelin_star_restaurants,Number_of_admissions_at_all_theatres_per_year,Number_of_admissions_at_main_film_festival,Number_of_bars,"Number_of_bars_per_100,000_population",Number_of_book_loans_by_public_libraries_per_year_(million),Number_of_book_titles_published_in_the_country_in_a_year,Number_of_bookshops_per_100.000_population,Number_of_dance_performances_per_year,Number_of_films_given_theatrical_release_in_the_country_in_a_year,Number_of_foreign_films_given_theatrical_release_in_the_country_in_a_year,Number_of_households,Number_of_international_students_studying_in_the_city,Number_of_international_tourists_per_year,Number_of_international_tourists_per_year_as_Percentage_of_city_population,Number_of_live_music_venues,Number_of_markets,Number_of_music_performances_per_year,Number_of_non-professional_dance_schools,Number_of_other_HeritageHistorical_sites,Number_of_restaurants,"Number_of_restaurants_per_100,000_population",Number_of_students_of_Art__Design_degree_courses_at_generalist_universities,Number_of_students_of_specialist_Art__Design_public_institutions,Number_of_students_of_specialist_Art__Design_public_institutions,Number_of_theatrical_performances_at_all_theatres_per_year,Number_of_video_games_arcades,Number_of_visits_to_top_5_most_visited_museums__galleries,Other_museums,Public_libraries,Specialist_private_cultural_HE_establishments,Specialist_public_cultural_HE_establishments,Theatres,Total_museums,Total_population_number,Total_value_of_cinema_ticket_sales_per_year_-_(ppp),Total_value_of_theatre_ticket_sales_at_all_theatres_per_year_-_m_(ppp),UNESCO_World_Heritage_Sites,Working_age_population,Figure,Per capita (Number_of_admissions_at_all_theatres_per_year,Per capita (Number_of_book_loans_by_public_libraries_per_year_(million),Per capita (Number_of_visits_to_top_5_most_visited_museums__galleries,Per capita (Total_value_of_cinema_ticket_sales_per_year_-_(ppp),Per capita (Total_value_of_theatre_ticket_sales_at_all_theatres_per_year_-_m_(ppp)
"Number_of_restaurants_per_100,000_population",-0.2806586961,0.188563806,0.2848962776,0.1917505646,0.2309278924,-0.01395424805,0.06079901839,0.1354107912,0.4071280587,-0.2998969561,0.1643309409,-0.06245812718,-0.07381382032,0.2013087103,0.3348194987,-0.1332389555,0.2766521298,-0.1859640789,-0.07441442049,0.02686962748,-0.01489568163,-0.1213338255,0.4559412689,0.4177347627,-0.04666814557,0.5795502105,0.2159021053,0.2960876004,0.03643032239,0.4203703124,0.1629422569,0.4959506057,0.4837327067,0.4385999434,0.09373775849,-0.006639910307,0.1301737974,-0.008885609094,-0.08805045814,-0.06195381276,0.1896523105,-0.2002001351,0.6399250333,1,0.2991949112,-0.1393703059,-0.1393703059,0.2774960131,0.3649760751,0.09738887694,0.1488709521,0.3225283379,-0.003420657582,-0.06930573082,0.1712107195,0.1436471731,0.0902726449,0.1795599067,0.04087695761,0.1745960394,0.01187974022,-0.1590913382,0.1981811928,-0.1044714887,-0.03246494139,0.05900308451,-0.008358359013
Number_of_students_of_Art__Design_degree_courses_at_generalist_universities,-0.05444481161,0.109219995,0.4740823766,-0.0846647678,0.1672891337,0.2958917442,0.1785701063,0.0375770002,0.4379698907,0.05794426709,-0.03729635995,-0.2249154694,0.2574636677,0.404122691,0.1515984486,0.0516704812,-0.06938531493,-0.0693279384,0.1976791077,0.1559175507,0.07779030558,-0.0111068906,-0.01250239669,0.6646865085,-0.05423871955,0.3993819324,0.169213375,0.1557727706,-0.0388651901,-0.06537704505,0.3321272813,0.6884632826,0.7483500456,0.2327626691,0.1140091235,0.05497261525,-0.1778095159,-0.031765795,0.1146297837,0.09235729144,-0.09757149906,-0.0915474369,0.3781876081,0.2991949112,1,0.01412873882,0.01412873882,0.8254919034,0.2205156089,0.3974826956,0.3982445641,0.6307338305,0.334263588,0.09305042361,0.361969524,0.4536011679,0.2186971789,0.3517287464,0.07547657662,0.1771564626,0.1839977418,0.008029206648,0.03110783664,-0.01261033882,-0.05267800025,0.1494832305,-0.05563243455
Number_of_students_of_specialist_Art__Design_public_institutions,-0.05011739201,0.348191419,0.1311201499,-0.2025725082,0.2296548778,0.566768197,0.4834263679,0.6680561617,0.4955832229,0.1985259546,-0.1447014281,-0.2786964959,0.02091248405,0.1559087911,0.1717597476,0.1698060248,0.2471330554,0.1394521276,0.2980889257,0.314421924,0.09441828531,0.82692076,0.1345097179,0.4446913965,0.1815686855,-0.03408784938,-0.02714802872,0.1983437155,0.1881518946,-0.009620199742,0.02128072931,0.006377482414,-0.07101123814,0.3821759475,0.4787488592,0.2491412466,-0.0279447165,0.3490492782,0.2854481345,0.5078422651,0.03270826652,0.1603502413,-0.08269748587,-0.1393703059,0.01412873882,1,1,0.2538879416,0.05806842891,0.3875605596,0.4566015002,0.2067322867,0.2343904569,0.6475783377,0.2792628081,0.4996502793,0.3159058822,0.6044469231,0.6713484833,0.4670887614,0.1488076713,0.07102193079,0.405555611,-0.2451448437,-0.2663879651,0.4766897277,0.4704237893
Number_of_students_of_specialist_Art__Design_public_institutions,-0.05011739201,0.348191419,0.1311201499,-0.2025725082,0.2296548778,0.566768197,0.4834263679,0.6680561617,0.4955832229,0.1985259546,-0.1447014281,-0.2786964959,0.02091248405,0.1559087911,0.1717597476,0.1698060248,0.2471330554,0.1394521276,0.2980889257,0.314421924,0.09441828531,0.82692076,0.1345097179,0.4446913965,0.1815686855,-0.03408784938,-0.02714802872,0.1983437155,0.1881518946,-0.009620199742,0.02128072931,0.006377482414,-0.07101123814,0.3821759475,0.4787488592,0.2491412466,-0.0279447165,0.3490492782,0.2854481345,0.5078422651,0.03270826652,0.1603502413,-0.08269748587,-0.1393703059,0.01412873882,1,1,0.2538879416,0.05806842891,0.3875605596,0.4566015002,0.2067322867,0.2343904569,0.6475783377,0.2792628081,0.4996502793,0.3159058822,0.6044469231,0.6713484833,0.4670887614,0.1488076713,0.07102193079,0.405555611,-0.2451448437,-0.2663879651,0.4766897277,0.4704237893
Number_of_theatrical_performances_at_all_theatres_per_year,0.0004526114204,0.438820521,0.1388984588,-0.08782669052,0.2047382124,0.516279384,0.5095541911,0.1400450345,0.4971123962,0.03870946601,-0.07427069898,-0.2963712404,0.3009878307,0.6595641334,0.4238003485,-0.0334458359,0.3120533454,0.2074564083,0.2259395154,0.03828217121,0.5436839807,0.3062447424,0.3310013225,0.810437815,0.04644939654,0.4611607362,0.0181145931,0.3493413232,0.082299337,-0.1784684337,0.3625888218,0.677944891,0.6521688073,0.7019539861,0.3125085776,0.2364466596,-0.196426979,0.1338378343,0.4264304063,0.2456897125,0.2374354285,0.1950787671,0.540059426,0.2774960131,0.8254919034,0.2538879416,0.2538879416,1,0.1552611757,0.6453994512,0.6508937545,0.8426513044,0.5526354991,0.4421029067,0.6376079269,0.6859453778,0.4137718884,0.4560803379,0.311413277,0.4821700019,-0.09307667224,-0.09597859683,-0.00004905248936,-0.04353361573,-0.1717611447,-0.03539535525,0.1925302892
Number_of_video_games_arcades,-0.1988874903,0.2629114951,-0.2766804049,-0.2694166055,0.7130204157,0.2727875643,0.4830876793,-0.21766602,0.1312691129,-0.2933054719,0.7198062864,-0.1009144208,-0.1535484368,-0.1783040295,0.5326305618,-0.09624616846,0.04714031644,-0.1312274586,0.6232945424,0.5386249435,-0.182812457,-0.1049990704,0.1182137281,0.28749661,0.1414660107,0.2606656505,0.05731486544,0.4989967232,0.1513547278,0.04552084238,-0.04738994795,0.1116719787,0.03139283613,0.5391456907,-0.09609598504,0.1472860198,-0.1244402929,0.01525607837,0.1028637842,-0.1991780897,0.5566993648,-0.135389414,0.6203380249,0.3649760751,0.2205156089,0.05806842891,0.05806842891,0.1552611757,1,0.02655586906,-0.09887061113,0.3914518811,-0.1150351814,-0.08800744146,-0.1393538574,0.03702792265,0.6850325497,0.6620977593,0.0835321634,-0.223514451,-0.07507518112,0.06960562135,-0.1958654413,-0.1621852357,-0.2573722028,0.08923581833,-0.1706656172
Number_of_visits_to_top_5_most_visited_museums__galleries,0.006325474905,0.5625911914,0.1417074365,-0.02932721714,0.2090577224,0.5584516304,0.5683225945,0.115686352,0.4021000635,0.03268176196,0.1211471232,-0.03508679659,0.2333358725,0.4866163493,0.6062052943,-0.05600014553,0.5690255119,0.3767186731,0.241996038,0.1804517623,0.2802005596,0.4702865972,0.3965565999,0.6624926691,0.1074224895,0.2349597308,-0.1588852549,0.3276246414,0.1239685624,-0.1075593736,0.3787320305,0.2700426165,0.4753155008,0.4631175086,0.4242253072,0.3513209506,0.0333391423,0.4911493043,0.4741912051,0.2733749018,0.246314277,0.382648834,0.3561504066,0.09738887694,0.3974826956,0.3875605596,0.3875605596,0.6453994512,0.02655586906,1,0.6232726978,0.5769090897,0.4909516363,0.3511613283,0.6784882015,0.661278474,0.3647286334,0.5068875273,0.6458694551,0.3533131409,-0.06983879906,-0.2384556728,-0.0962460962,-0.00006860485862,0.1650745203,0.01354242278,0.500394154
Other_museums,-0.0781493135,0.3777969023,0.01645652461,-0.06715264725,0.1402545988,0.6465746916,0.5685297647,0.359821374,0.5751962429,0.02912086446,-0.1498389208,-0.3018680328,0.4168031875,0.5956895946,0.530961722,-0.1175856796,0.4327823103,0.08072842493,0.0007180303677,0.1080010101,0.5836675216,0.7108256902,0.4223178059,0.4814080963,0.07727218019,0.2341111444,-0.2393652352,0.365095025,0.2384903034,-0.1616861733,0.3476469155,0.4490218355,0.4370503487,0.5223000979,0.3369729101,0.5746537843,-0.1185110353,0.3143188055,0.4174503476,0.173427486,0.316817559,0.0942076319,0.4069074841,0.1488709521,0.3982445641,0.4566015002,0.4566015002,0.6508937545,-0.09887061113,0.6232726978,1,0.5736331875,0.4726078757,0.5474478313,0.6586489806,0.9684142062,0.3531129663,0.389407577,0.2542686966,0.3788011036,0.3424842986,-0.1910225759,-0.1648649879,0.08362448001,-0.05365349964,-0.02940444943,0.1494239397
Public_libraries,-0.0147742688,0.4819893616,0.01725978113,-0.1947859214,0.2118511795,0.5619521988,0.7098575468,0.2060719696,0.3384840399,-0.1331505211,0.252877699,-0.2705042502,0.3609984062,0.6557213637,0.5575762651,-0.0361829764,0.3321491418,-0.08977829076,0.2796851638,0.131011422,0.7476443865,0.1983905733,0.3251710797,0.5988705016,-0.02597814434,0.3977651309,-0.020802566,0.3249161179,0.1292653695,-0.1376876787,0.311893419,0.5597301712,0.4838979033,0.6961645809,0.2995211114,0.1963314139,-0.211444577,0.2154949976,0.4983010347,0.2107925323,0.6146741753,-0.02076358159,0.6284088348,0.3225283379,0.6307338305,0.2067322867,0.2067322867,0.8426513044,0.3914518811,0.5769090897,0.5736331875,1,0.6339709773,0.4146255558,0.630071062,0.6221003292,0.4696802952,0.5031303741,0.1860716191,0.3341066203,0.0337388064,-0.0747958861,-0.06826584416,-0.1518525458,-0.2144017514,-0.05634884887,0.003905186282
Specialist_private_cultural_HE_establishments,0.09276803789,0.3529883064,0.07492761252,-0.00122864267,0.1927966639,0.4422784263,0.5517163058,0.1504527162,0.379644409,0.3492796031,-0.1860629576,-0.3359766791,0.2947467696,0.6685337081,0.2432366288,0.01659706747,0.2658563207,0.2511056703,0.6329754793,0.05009469235,0.5415302964,0.2121199127,0.2121362527,0.4012345177,0.01630598511,0.1526404838,-0.01449266576,0.1090097844,0.02270844787,-0.1363668525,0.1519033762,0.2755933356,0.2123070717,0.2815794676,0.2370966388,0.1130602135,-0.1486742262,0.6066184259,0.5456925379,0.289029394,0.2968415126,-0.03407608251,0.1943833259,-0.003420657582,0.334263588,0.2343904569,0.2343904569,0.5526354991,-0.1150351814,0.4909516363,0.4726078757,0.6339709773,1,0.4526804721,0.5659336094,0.5386181979,0.2419161216,0.3708381104,0.09771418992,0.5897556065,-0.02073291266,0.01215447492,-0.0296542962,-0.107093329,-0.08613128599,-0.0210097834,0.1225281547
Specialist_public_cultural_HE_establishments,-0.05490438104,0.3800804546,0.03551738988,-0.3243198281,0.08395734061,0.3874825621,0.5123654837,0.2556820504,0.3879359503,0.06235895663,-0.2515862069,-0.2529544254,0.07394419216,0.4226004945,0.05566653887,-0.1345109791,0.2388558487,0.1085457167,0.2283294548,-0.05893894088,0.4159562199,0.7184044859,0.1499959928,0.2962948711,-0.01556608313,0.001538640917,0.02114277971,-0.0244050655,-0.0162020561,-0.04484422898,-0.1468687316,0.02646388452,-0.005484645352,0.3167799585,0.2899106081,0.09536030237,-0.03327593944,0.03298318361,0.3379410189,0.1623410251,0.3487350819,0.008614702222,-0.01948959417,-0.06930573082,0.09305042361,0.6475783377,0.6475783377,0.4421029067,-0.08800744146,0.3511613283,0.5474478313,0.4146255558,0.4526804721,1,0.4992301325,0.5986589879,0.1850512181,0.2236937676,0.1951630894,0.6487410901,-0.139260367,0.0001096313349,0.3275416711,-0.3368434884,-0.1629199628,-0.06182384408,0.02145016022
Theatres,-0.112487486,0.7751991509,0.04286147317,-0.06140047434,0.02216540156,0.4938356251,0.5996472176,0.4293369276,0.4129410003,0.01331158009,-0.05074354834,-0.2965883709,0.4539034918,0.726819487,0.5196903447,-0.05089185446,0.5514428,0.1695925317,0.08442807733,0.1678627559,0.8208689985,0.2982607257,0.3985275685,0.5214353034,0.132564099,0.2889838131,0.01397436379,0.2873581677,0.2826067531,-0.08600829634,0.6675322843,0.403723854,0.3977659389,0.4410883708,0.4232844405,0.2137974025,-0.1643885635,0.2970072407,0.5602283163,0.4212107261,0.4439087942,0.40137683,0.3729334341,0.1712107195,0.361969524,0.2792628081,0.2792628081,0.6376079269,-0.1393538574,0.6784882015,0.6586489806,0.630071062,0.5659336094,0.4992301325,1,0.6695351897,0.2592135578,0.3477259476,0.6949984587,0.2198233209,0.1704814427,-0.2320593691,0.1733863395,0.03185654553,-0.1142569036,0.06016219118,0.5944657312
Total_museums,-0.1093690428,0.4410808949,0.04086060367,-0.1769928397,0.2319988423,0.6972219868,0.6566329739,0.363948795,0.5745634213,0.07629125074,-0.1029816479,-0.3206326414,0.3632924396,0.5694606959,0.5589199231,-0.1384942503,0.389819976,0.1837280516,0.2299497115,0.2693322754,0.6050556027,0.730551448,0.385986937,0.5464347914,0.1440418162,0.2473170121,-0.189718135,0.4031443398,0.2267573172,-0.2016787504,0.3091468989,0.382833276,0.3968592592,0.6019468592,0.3643321002,0.1401221462,-0.2387808011,0.3232311435,0.4843403399,0.1764079061,0.3299553352,0.1131805576,0.3941113556,0.1436471731,0.4536011679,0.4996502793,0.4996502793,0.6859453778,0.03702792265,0.661278474,0.9684142062,0.6221003292,0.5386181979,0.5986589879,0.6695351897,1,0.4779922543,0.5109108891,0.2896458387,0.4181938161,0.3076829427,-0.2296209027,-0.1505409261,0.04175812234,-0.08464059849,-0.03017969114,0.1245695343
Total_population_number,-0.06802694764,0.4414357841,-0.08135650139,-0.3510910202,0.7610540287,0.792000198,0.7571129532,0.4388129656,0.1911753968,-0.2169181542,0.3920480976,-0.3459180931,0.01107906719,0.1505037588,0.7201834695,-0.03021949972,0.4727282721,0.05305884314,0.5920407446,0.5737271142,0.5910430713,0.542689232,0.3149266072,0.5158312413,0.2420765213,0.2458695182,-0.2914663082,0.6114157092,0.08390546376,-0.06896748111,0.1992048318,0.1223037713,0.03798199219,0.913256384,0.2497506348,0.2195181424,-0.417327202,0.2579424714,0.5677219536,0.08266439865,0.5060374649,0.2810734338,0.5731146983,0.0902726449,0.2186971789,0.3159058822,0.3159058822,0.4137718884,0.6850325497,0.3647286334,0.3531129663,0.4696802952,0.2419161216,0.1850512181,0.2592135578,0.4779922543,1,0.6663639798,0.2625402575,-0.04127611411,0.1306917278,-0.110311734,-0.2294521164,-0.1932949782,-0.4407975932,-0.2055953871,-0.08741520042
Total_value_of_cinema_ticket_sales_per_year_-_(ppp),-0.1005117883,0.5703792791,-0.05084902422,-0.199343073,0.5601344589,0.6903505583,0.7425181038,0.215515698,0.5083673396,0.07995654165,0.3961685412,-0.2530284858,-0.02424497828,0.1562894674,0.6707050153,-0.0662480106,0.2836226329,0.01065587873,0.5154950748,0.5442397448,0.1316630039,0.7426193326,0.2749998989,0.7252136202,0.3425568117,0.2339673535,0.004461368672,0.4575296499,0.5512325075,0.02302372048,0.3596269386,0.3357736854,0.1344701334,0.6310148089,0.3190870849,0.2484277213,-0.2735242612,0.525877966,0.3625760619,0.1336529217,0.4269638363,0.1335099903,0.40933483,0.1795599067,0.3517287464,0.6044469231,0.6044469231,0.4560803379,0.6620977593,0.5068875273,0.389407577,0.5031303741,0.3708381104,0.2236937676,0.3477259476,0.5109108891,0.6663639798,1,0.8490271762,0.1236051265,0.3860090371,-0.01888569523,-0.09052025945,-0.1756398453,-0.2662670599,0.4356221046,0.3285760716
Total_value_of_theatre_ticket_sales_at_all_theatres_per_year_-_m_(ppp),-0.1367662554,0.8746678115,0.4039580971,0.04038633169,0.2340198307,0.308272072,0.4625751448,0.1949676009,0.1249249008,0.1284291915,0.3251870397,-0.121816365,0.03046420306,0.1452775644,0.4841041772,0.03925490181,0.6570389251,0.05490152051,0.1058858179,0.3134897725,-0.2218384077,0.7193912954,0.4556539308,0.7033601995,0.1870135609,-0.0746517141,-0.2620881985,0.4948462436,0.4596083694,0.06687846154,0.7151660022,0.1422154153,0.001132586041,0.4016083868,0.6728959082,0.1491698534,-0.1184708895,0.4428886504,0.1150863349,0.4753929383,0.3001555735,0.6164318335,0.183247974,0.04087695761,0.07547657662,0.6713484833,0.6713484833,0.311413277,0.0835321634,0.6458694551,0.2542686966,0.1860716191,0.09771418992,0.1951630894,0.6949984587,0.2896458387,0.2625402575,0.8490271762,1,0.111156148,-0.08862473855,0.1521061076,-0.005038594617,0.10962041,-0.1182048587,0.592085301,0.8908100774
UNESCO_World_Heritage_Sites,0.1238073335,0.1402299087,0.1444457712,-0.05752615289,-0.05767720516,0.1760454832,0.2062997117,0.2695836641,0.2696200829,0.08220106436,-0.2272044825,0.0259922202,0.2171520009,0.3902973454,-0.06458627138,-0.05586945061,0.1544013632,0.4121308488,0.07252963783,-0.2848113142,0.1861957223,0.6047829355,0.2554486198,0.4200868548,0.03592953039,0.1694801986,0.163986786,-0.051378604,-0.176320736,0.01323042497,-0.0617058322,0.1653395163,0.09572446645,0.1981930932,0.3107390475,0.03249307881,0.1339665363,0.3330317061,0.2764731246,0.2034849893,0.1429743986,0.02902724125,0.1201061873,0.1745960394,0.1771564626,0.4670887614,0.4670887614,0.4821700019,-0.223514451,0.3533131409,0.3788011036,0.3341066203,0.5897556065,0.6487410901,0.2198233209,0.4181938161,-0.04127611411,0.1236051265,0.111156148,1,-0.1821490323,0.06132087289,0.3693513491,-0.2784977913,-0.005745563595,0.02256695124,0.1432428546
Working_age_population,-0.1170149581,-0.0002457753942,-0.06903674845,-0.05081568578,-0.02584941271,0.4494547893,0.1448291034,0.5414831289,0.2269615977,-0.1428868306,-0.03680182412,-0.09399198428,0.3972965329,0.07269843342,0.2453143556,-0.02463198049,-0.02760234645,-0.03033142597,-0.09862619008,0.387810863,0.3431151788,0.1986326113,-0.05762419365,-0.1193913274,-0.08058301076,-0.07176896025,-0.1411770779,0.1507264447,0.3756877068,-0.1222141795,0.2721879124,0.08698932496,0.1245697791,0.1300142625,0.03489565437,-0.01276063471,-0.1180309741,0.09324418937,0.1650096895,-0.01933995795,-0.09636358983,-0.07437201649,0.06306653604,0.01187974022,0.1839977418,0.1488076713,0.1488076713,-0.09307667224,-0.07507518112,-0.06983879906,0.3424842986,0.0337388064,-0.02073291266,-0.139260367,0.1704814427,0.3076829427,0.1306917278,0.3860090371,-0.08862473855,-0.1821490323,1,0.119193794,-0.1106313402,0.001539161574,-0.1157479319,-0.2799603376,-0.1439662247
Figure,0.246681213,-0.1098212485,0.262180678,0.2077829392,-0.02711070101,-0.0511726864,-0.1005447235,-0.1375627929,-0.2179881841,0.09344389114,0.1015237639,0.08800043763,0.000583657325,-0.1469639667,-0.1097269832,-0.1595023254,-0.1296166554,-0.30122067,-0.1517267579,-0.09476509172,-0.1744950888,0.01656211623,-0.1396117416,-0.01794896854,-0.3565160186,-0.2350630445,-0.1572545125,-0.1232484355,0.03767127657,-0.1262146975,0.1245478302,-0.03684000891,-0.1828703637,-0.2443580481,0.06264932362,0.1371440624,0.1156550882,0.1471350062,-0.1720358617,-0.1762918708,-0.05065890792,-0.04784456161,-0.1019566302,-0.1590913382,0.008029206648,0.07102193079,0.07102193079,-0.09597859683,0.06960562135,-0.2384556728,-0.1910225759,-0.0747958861,0.01215447492,0.0001096313349,-0.2320593691,-0.2296209027,-0.110311734,-0.01888569523,0.1521061076,0.06132087289,0.119193794,1,0.2680994541,-0.01133975813,-0.1443955293,-0.1284089536,0.03230511299
Per capita (Number_of_admissions_at_all_theatres_per_year,-0.1337457971,0.09017178759,0.02637279472,0.1035746871,-0.08098952276,-0.1368269679,-0.09877029615,0.2440682264,0.2452599008,0.007129970064,-0.1471117255,-0.0149223182,0.005085918803,0.0002848048254,-0.2107142595,-0.03390255677,0.1420417843,0.1725931449,-0.05931823528,-0.0855090794,-0.0824267032,-0.03961681502,0.02325651684,-0.01463232033,-0.09609937135,0.2091530532,0.5027989535,-0.1750049806,-0.0182322666,0.1708460773,-0.1090170887,0.09582997282,0.04976064887,-0.1596047973,0.01443871739,0.01449737849,0.1851524815,-0.04380465437,-0.0395948778,0.2147898229,-0.1048575924,-0.03706751067,-0.01290463524,0.1981811928,0.03110783664,0.405555611,0.405555611,-0.00004905248936,-0.1958654413,-0.0962460962,-0.1648649879,-0.06826584416,-0.0296542962,0.3275416711,0.1733863395,-0.1505409261,-0.2294521164,-0.09052025945,-0.005038594617,0.3693513491,-0.1106313402,0.2680994541,1,-0.1882309639,-0.07176283255,0.004314076439,-0.002110181833
Per capita (Number_of_book_loans_by_public_libraries_per_year_(million),0.04480372514,0.1241219176,0.18220252,0.5028856507,-0.08171563252,-0.2768194612,-0.2685547857,-0.1635845548,-0.05350470674,0.5303030877,-0.1274888193,0.1092253687,0.07913423774,0.1732329716,0.1515439585,0.1013343111,-0.1260486411,0.01440573664,-0.1549785782,0.03187126709,-0.04145437388,-0.2589925583,0.1012985324,-0.04721204751,0.2495920786,-0.04995548713,-0.1037631299,0.3480466558,0.1928549182,-0.08340223714,0.2149386209,0.2262651657,0.1362354177,-0.2118007196,0.03845116828,0.08569518862,0.05236837819,0.1097979882,-0.330923939,0.1892491546,-0.1533388634,-0.1018772739,0.03547147119,-0.1044714887,-0.01261033882,-0.2451448437,-0.2451448437,-0.04353361573,-0.1621852357,-0.00006860485862,0.08362448001,-0.1518525458,-0.107093329,-0.3368434884,0.03185654553,0.04175812234,-0.1932949782,-0.1756398453,0.10962041,-0.2784977913,0.001539161574,-0.01133975813,-0.1882309639,1,0.2775093892,-0.2238204582,0.2136729425
Per capita (Number_of_visits_to_top_5_most_visited_museums__galleries,-0.1107775367,-0.2041436199,-0.03447813124,0.1920660744,-0.3026902169,-0.3415391629,-0.3041167153,-0.369687083,-0.130327884,0.1307670088,0.0102541976,0.7863023422,-0.1338622037,-0.145201835,-0.2317540792,-0.09081036066,-0.2259337338,0.3973735508,-0.2106145233,-0.2325879829,-0.2446307362,-0.1391544538,-0.1715892784,-0.2274093212,-0.2137261731,-0.1954553644,0.152562688,-0.2733844477,0.2565924556,0.0783449215,-0.1575808511,0.09027403273,0.08397928457,-0.424074582,-0.1609782823,-0.1534480581,0.3530986139,-0.1273961092,-0.263460951,-0.153361872,-0.2797367865,-0.113308744,-0.2084706045,-0.03246494139,-0.05267800025,-0.2663879651,-0.2663879651,-0.1717611447,-0.2573722028,0.1650745203,-0.05365349964,-0.2144017514,-0.08613128599,-0.1629199628,-0.1142569036,-0.08464059849,-0.4407975932,-0.2662670599,-0.1182048587,-0.005745563595,-0.1157479319,-0.1443955293,-0.07176283255,0.2775093892,1,0.05534625489,0.02541920314
Per capita (Total_value_of_cinema_ticket_sales_per_year_-_(ppp),-0.1048726299,-0.06239978858,-0.188524705,-0.05981949071,-0.05986723726,-0.08574153621,0.009679090094,0.1653678347,0.3672388449,0.2067624381,-0.01594387498,0.04705242476,-0.1081516226,-0.09406099753,-0.1828350707,0.08168055795,-0.1524179194,-0.06189194073,-0.01691114512,0.04584811144,-0.4078284933,0.7754568109,0.06261546504,0.1814999665,0.3645964325,0.1210298306,0.405736226,-0.1032254016,0.1632903414,0.2870447702,0.1300499376,0.1327647467,0.06639514406,-0.1432995234,0.1831636685,-0.02203917685,0.06567428495,0.2516322489,-0.1125390905,0.1899452234,-0.0652757525,-0.0803076841,-0.1085986923,0.05900308451,0.1494832305,0.4766897277,0.4766897277,-0.03539535525,0.08923581833,0.01354242278,-0.02940444943,-0.05634884887,-0.0210097834,-0.06182384408,0.06016219118,-0.03017969114,-0.2055953871,0.4356221046,0.592085301,0.02256695124,-0.2799603376,-0.1284089536,0.004314076439,-0.2238204582,0.05534625489,1,0.7938840679
Per capita (Total_value_of_theatre_ticket_sales_at_all_theatres_per_year_-_m_(ppp),-0.1133682524,0.7293882551,0.4606523731,0.2980463127,0.05630785972,0.04765075984,0.1515322541,0.2569414195,0.1152994133,0.292894342,0.154943375,0.01955419038,0.09792366394,0.198291776,0.170481741,0.2623731662,0.6187045504,0.07765149259,-0.1307475432,0.1310554479,-0.1604002283,0.4596193186,0.4708996824,0.5439102639,0.2458037873,-0.1583208661,-0.2047242485,0.2929491056,0.3342151791,0.2447296168,0.6363436327,0.1547074346,0.001626850418,0.05464217905,0.6670825702,0.04184933645,-0.007560578563,0.4448182786,-0.03067702985,0.6519933702,0.2471204322,0.5121951818,-0.003573987813,-0.008358359013,-0.05563243455,0.4704237893,0.4704237893,0.1925302892,-0.1706656172,0.500394154,0.1494239397,0.003905186282,0.1225281547,0.02145016022,0.5944657312,0.1245695343,-0.08741520042,0.3285760716,0.8908100774,0.1432428546,-0.1439662247,0.03230511299,-0.002110181833,0.2136729425,0.02541920314,0.7938840679,1